Station_ID,Id,Stratum,Feature_Set,N_Features,N_Train,N_Classes,N_Test,Accuracy,Macro_F1,Weighted_F1,Cohen_Kappa,Accuracy_Persistence,Kappa_Persistence,Kappa_Skill_Score,Precision_Normal,Recall_Normal,F1_Normal,Support_Normal,Precision_Warning,Recall_Warning,F1_Warning,Support_Warning,Precision_Danger,Recall_Danger,F1_Danger,Support_Danger,Precision_Severe,Recall_Severe,F1_Severe,Support_Severe,OOB_Accuracy,HP_max_features,HP_min_samples_leaf
SW93.5L,13,DURING,full_multivariate,225,1978,3,495,0.997979797979798,0.6616091178919729,0.9979666703355955,0.9848275862068966,0.9939393939393939,0.9544827586206897,0.6666666666666675,0.9978260869565218,1.0,0.998911860718172,459,1.0,0.9722222222222222,0.9859154929577465,36,0.0,0.0,0.0,0.0,,,,,0.993427704752275,0.33,1
SW93.5L,13,DURING,forecast_safe,193,1978,3,495,0.98989898989899,0.6407024500778927,0.9896958538793973,0.9221183800623053,0.9939393939393939,0.9544827586206897,-0.7110355895402626,0.9913419913419913,0.9978213507625272,0.99457111834962,459,0.9696969696969697,0.8888888888888888,0.927536231884058,36,0.0,0.0,0.0,0.0,,,,,0.9848331648129424,sqrt,1
SW93.5L,13,AFTER,stage_only,103,1028,2,257,0.9610894941634242,0.850650860065086,0.9610894941634242,0.7013017201301721,0.9844357976653697,0.8805206880520688,-1.5,0.9790794979079498,0.9790794979079498,0.9790794979079498,239,0.7222222222222222,0.7222222222222222,0.7222222222222222,18,,,,,,,,,0.995136186770428,0.33,1
SW93.5L,13,AFTER,hydromet,221,1028,2,257,0.9688715953307393,0.8962873284907183,0.9708972027774376,0.7929506545820745,0.9844357976653697,0.8805206880520688,-0.7329305135951671,0.9957081545064378,0.9707112970711297,0.9830508474576272,239,0.7083333333333334,0.9444444444444444,0.8095238095238095,18,,,,,,,,,0.9941634241245136,0.33,5
SW93.5L,13,AFTER,full_multivariate,225,1028,2,257,0.9610894941634242,0.8425245098039216,0.960026131074998,0.6851261945601568,0.9844357976653697,0.8805206880520688,-1.6353834844400894,0.975103734439834,0.9832635983263598,0.9791666666666666,239,0.75,0.6666666666666666,0.7058823529411765,18,,,,,,,,,0.9941634241245136,0.33,1
SW93.5L,13,AFTER,forecast_safe,193,1028,2,257,0.953307392996109,0.8000518672199171,0.9505828503156433,0.6005181347150259,0.9844357976653697,0.8805206880520688,-2.343523316062177,0.9670781893004116,0.9832635983263598,0.975103734439834,239,0.7142857142857143,0.5555555555555556,0.625,18,,,,,,,,,0.9912451361867705,0.33,1
SW93.5L,13,ALL,stage_only,103,3845,3,961,0.9937565036420395,0.6385573885573885,0.9935135244708606,0.9156943591543117,0.9875130072840791,0.843485342019544,0.4613562593209929,0.9935275080906149,1.0,0.9967532467532467,921,1.0,0.85,0.918918918918919,40,0.0,0.0,0.0,0.0,,,,,0.9924577373211964,0.33,1
SW93.5L,13,ALL,hydromet,221,3845,3,961,0.9781477627471384,0.5442652183010818,0.974381966027398,0.6342630348502147,0.9875130072840791,0.843485342019544,-1.3367585494481593,0.9777070063694268,1.0,0.9887278582930756,921,1.0,0.475,0.6440677966101694,40,0.0,0.0,0.0,0.0,,,,,0.9924577373211964,0.33,1
SW93.5L,13,ALL,full_multivariate,225,3845,3,961,0.9937565036420395,0.6385573885573885,0.9935135244708606,0.9156943591543117,0.9875130072840791,0.843485342019544,0.4613562593209929,0.9935275080906149,1.0,0.9967532467532467,921,1.0,0.85,0.918918918918919,40,0.0,0.0,0.0,0.0,,,,,0.9908972691807543,0.33,5
SW93.5L,13,ALL,forecast_safe,193,3845,3,961,0.9791883454734651,0.5555555555555555,0.9762680004028063,0.667600567258137,0.9875130072840791,0.843485342019544,-1.1237591228252222,0.979765708200213,0.998914223669924,0.989247311827957,921,0.9545454545454546,0.525,0.6774193548387096,40,0.0,0.0,0.0,0.0,,,,,0.9864759427828349,0.33,1
SW95,15,BEFORE,stage_only,111,838,3,210,0.9238095238095239,0.7474682180564534,0.909320651337458,0.8576452145913656,0.9619047619047619,0.9310288201001724,-1.0639749184425695,0.9818181818181818,0.972972972972973,0.9773755656108597,111,0.8556701030927835,0.9764705882352941,0.9120879120879121,85,1.0,0.21428571428571427,0.35294117647058826,14.0,,,,,0.9725536992840096,0.33,1
