target,era,goalundo_margin,p
12,After,-0.5,0.0005702415191722695
12,After,-0.44999999999999973,0.0010829870650210084
12,After,-0.3999999999999999,0.0020558309782776965
12,After,-0.34999999999999964,0.0038991663678803338
12,After,-0.2999999999999998,0.007383077691029007
12,After,-0.25,0.013936317393642502
12,After,-0.19999999999999973,0.026152975552924576
12,After,-0.1499999999999999,0.048551532047236834
12,After,-0.09999999999999964,0.08839202523577944
12,After,-0.04999999999999982,0.155579096713941
12,After,0.0,0.259308579288966
12,After,0.050000000000000266,0.39947961744513494
12,After,0.10000000000000009,0.5583079184795682
12,After,0.15000000000000036,0.7060401948650319
12,After,0.20000000000000018,0.8202674617107535
12,After,0.25,0.8966080863886102
12,After,0.30000000000000027,0.9427850766784484
12,After,0.3500000000000001,0.9690503555153807
12,After,0.40000000000000036,0.9834696151425707
12,After,0.4500000000000002,0.9912318100901194
12,After,0.5,0.9953662741341307
12,After,0.5500000000000003,0.9975560213444896
12,After,0.6000000000000001,0.9987123043947779
12,After,0.6500000000000004,0.9993219044121108
12,After,0.7000000000000002,0.9996430206055561
12,After,0.75,0.9998120989110527
12,After,0.8000000000000003,0.999901103560687
12,After,0.8500000000000001,0.9999479508428523
12,After,0.9000000000000004,0.999972607156997
12,After,0.9500000000000002,0.9999855836458406
12,After,1.0,0.9999924129821203
12,After,1.0499999999999998,0.9999960071281934
12,After,1.1000000000000005,0.9999978986476147
12,After,1.1500000000000004,0.9999988941097775
12,After,1.2000000000000002,0.9999994179973736
12,After,1.25,0.9999996937065124
12,After,1.2999999999999998,0.9999998388053868
12,After,1.3500000000000005,0.9999999151673066
12,After,1.4000000000000004,0.9999999553546766
12,After,1.4500000000000002,0.9999999765042843
12,After,1.5,0.9999999876347933
12,After,1.5499999999999998,0.9999999934925012
12,After,1.6000000000000005,0.9999999965752664
12,After,1.6500000000000004,0.9999999981976486
12,After,1.7000000000000002,0.9999999990514676
12,After,1.75,0.9999999995008111
12,After,1.8000000000000007,0.9999999997372895
12,After,1.8500000000000005,0.9999999998617419
12,After,1.9000000000000004,0.9999999999272382
12,After,1.9500000000000002,0.9999999999617073
12,After,2.0,0.9999999999798475
13,Before,-3.0,1.1606081220671076e-13
13,Before,-2.95,2.0295055934711669e-13
13,Before,-2.9,3.548909296442402e-13
13,Before,-2.85,6.205825317698326e-13
13,Before,-2.8,1.0851860291945106e-12
13,Before,-2.75,1.897618217838109e-12
13,Before,-2.7,3.3182835051256096e-12
13,Before,-2.65,5.8025398981052624e-12
13,Before,-2.6,1.0146652393333116e-11
13,Before,-2.55,1.7743015403378255e-11
13,Before,-2.5,3.102644925626665e-11
13,Before,-2.45,5.425461972257696e-11
13,Before,-2.4,9.48727241353838e-11
13,Before,-2.35,1.6589985941509326e-10
13,Before,-2.3,2.9010196137310535e-10
13,Before,-2.25,5.072888444957912e-10
13,Before,-2.2,8.870742220769013e-10
13,Before,-2.15,1.5511886054417965e-09
13,Before,-2.1,2.712496912403256e-09
13,Before,-2.05,4.7432268826554406e-09
13,Before,-2.0,8.29427717438666e-09
13,Before,-1.95,1.4503846298017436e-08
13,Before,-1.9,2.5362253037333907e-08
13,Before,-1.8499999999999999,4.434988214047807e-08
13,Before,-1.7999999999999998,7.755273220477891e-08
13,Before,-1.75,1.3561312528118086e-07
13,Before,-1.7,2.371408256844371e-07
13,Before,-1.65,4.1467790684160646e-07
13,Before,-1.5999999999999999,7.251292267814935e-07
13,Before,-1.5499999999999998,1.2680016577866342e-06
13,Before,-1.5,2.217297953669064e-06
13,Before,-1.45,3.877287297757049e-06
13,Before,-1.4,6.780026149228223e-06
13,Before,-1.3499999999999999,1.1855880453853678e-05
13,Before,-1.2999999999999998,2.0731685114689077e-05
13,Before,-1.25,3.625204500002122e-05
13,Before,-1.2,6.33906741999789e-05
13,Before,-1.15,0.00011084328996907731
13,Before,-1.0999999999999999,0.00019381081909759508
13,Before,-1.0499999999999998,0.00033885949049600655
13,Before,-1.0,0.0005923987570505798
13,Before,-0.9499999999999997,0.0010354430497540748
13,Before,-0.8999999999999999,0.0018092323033933203
13,Before,-0.8500000000000001,0.0031594473970307933
