target,same_day,n_points,n_features,history_years,n_train,model,PI,rmse_cm
11,False,6,49,0.5,176,Gradient boosting,-0.48894512750396313,12.109698292700198
11,False,6,49,1.0,357,Ridge,0.6856940243289145,5.56378444022582
11,False,6,49,1.0,357,Gradient boosting,-0.20838032084573688,10.909272714614662
11,False,6,49,2.0,534,Ridge,0.7078431476406477,5.3641636029993185
11,False,6,49,2.0,534,Gradient boosting,-0.05349094441433011,10.186133881528724
11,False,6,49,3.0,838,Ridge,0.7415652319525207,5.045096141296454
11,False,6,49,3.0,838,Gradient boosting,0.026378167124239127,9.792399626506352
11,False,6,49,5.0,1568,Ridge,0.7460964394232916,5.000672029918985
11,False,6,49,5.0,1568,Gradient boosting,0.31940889532267935,8.187232260250871
11,False,6,49,8.0,2460,Ridge,0.735493988120238,5.104012746744623
11,False,6,49,8.0,2460,Gradient boosting,0.36167710393614816,7.9289227720713225
11,False,6,49,11.0,3313,Ridge,0.734884082646547,5.10989384726268
11,False,6,49,11.0,3313,Gradient boosting,0.47979117797045345,7.157853955822289
11,False,8,63,0.5,176,Ridge,0.5277448917732057,6.819967557398772
11,False,8,63,0.5,176,Gradient boosting,-0.26912095549486414,11.180094750552428
11,False,8,63,1.0,357,Ridge,0.7168775083988126,5.280574357153022
11,False,8,63,1.0,357,Gradient boosting,-0.11305489587332329,10.470134694027855
11,False,8,63,2.0,534,Ridge,0.7232682983124576,5.220636235850986
11,False,8,63,2.0,534,Gradient boosting,-0.03468617860192147,10.094813515439583
11,False,8,63,3.0,838,Ridge,0.7408833425509105,5.051747590194963
11,False,8,63,3.0,838,Gradient boosting,-0.1712168158555183,10.740206367663012
11,False,8,63,5.0,1568,Ridge,0.7523874040805297,4.938332675230698
11,False,8,63,5.0,1568,Gradient boosting,0.33886142059899627,8.069381099404636
11,False,8,63,8.0,2460,Ridge,0.7420766585507965,5.040101700814725
11,False,8,63,8.0,2460,Gradient boosting,0.4348423069172521,7.460686624614199
11,False,8,63,11.0,3313,Ridge,0.7421027416905517,5.039846847957925
11,False,8,63,11.0,3313,Gradient boosting,0.4708144261743782,7.219347963576116
11,False,all,77,0.5,176,Ridge,0.48532574234955483,7.119675502363822
11,False,all,77,0.5,176,Gradient boosting,-0.2852934752813492,11.251103712921422
11,False,all,77,1.0,357,Ridge,0.6935475560617034,5.49383385343905
11,False,all,77,1.0,357,Gradient boosting,-0.08972265593978657,10.3598142039379
11,False,all,77,2.0,534,Ridge,0.7173529032922801,5.276139151829592
11,False,all,77,2.0,534,Gradient boosting,-0.035038767502255874,10.09653336832609
11,False,all,77,3.0,838,Ridge,0.721556354304173,5.236759536964047
11,False,all,77,3.0,838,Gradient boosting,-0.027321027289983313,10.058820663856105
11,False,all,77,5.0,1568,Ridge,0.753716204767191,4.925064191716457
11,False,all,77,5.0,1568,Gradient boosting,0.3583523964492026,7.949544868168777
11,False,all,77,8.0,2460,Ridge,0.7449960963584978,5.011496033635509
11,False,all,77,8.0,2460,Gradient boosting,0.40467736244629793,7.6572032536672
11,False,all,77,11.0,3313,Ridge,0.7446452274023128,5.014942596450907
11,False,all,77,11.0,3313,Gradient boosting,0.45770682075388025,7.308210494996822
11,False,all+B,91,0.5,176,Ridge,0.4715561035577479,7.214287069245581
11,False,all+B,91,0.5,176,Gradient boosting,-0.3186121963793782,11.39600210528036
11,False,all+B,91,1.0,357,Ridge,0.6324890048762439,6.016295303313964
11,False,all+B,91,1.0,357,Gradient boosting,-0.10622554391696104,10.437964558155514
11,False,all+B,91,2.0,534,Ridge,0.704598198671835,5.393870883190691
11,False,all+B,91,2.0,534,Gradient boosting,-0.12259528961344612,10.51491059579786
11,False,all+B,91,3.0,838,Ridge,0.7346603418677411,5.112049603367403
11,False,all+B,91,3.0,838,Gradient boosting,0.06835292324107256,9.578989327967506
11,False,all+B,91,5.0,1568,Ridge,0.7659974929642,4.800696290308457
11,False,all+B,91,5.0,1568,Gradient boosting,0.3215488667661709,8.174350636377973
11,False,all+B,91,8.0,2460,Ridge,0.7580756146135745,4.881280892698518
11,False,all+B,91,8.0,2460,Gradient boosting,0.41382380075005465,7.598153567712131
11,False,all+B,91,11.0,3313,Ridge,0.7586087678560107,4.875899239780077
11,False,all+B,91,11.0,3313,Gradient boosting,0.4709095331196922,7.218699192125552
12,True,0,7,0.5,176,Ridge,0.40475365925220896,7.52484892018496
12,True,0,7,0.5,176,Gradient boosting,-0.2002046914106197,10.685062767607329
12,True,0,7,1.0,357,Ridge,0.47554759334194496,7.063215535315134
12,True,0,7,1.0,357,Gradient boosting,0.02857039914972448,9.61291460077323
12,True,0,7,2.0,534,Ridge,0.47470557720968165,7.068883310054106
12,True,0,7,2.0,534,Gradient boosting,0.10815758673981157,9.210717848582977
12,True,0,7,3.0,838,Ridge,0.46920946541550357,7.105767650316413
12,True,0,7,3.0,838,Gradient boosting,0.23013631760633846,8.55768573961817
12,True,0,7,5.0,1568,Ridge,0.4796260024839578,7.035698352509641
12,True,0,7,5.0,1568,Gradient boosting,0.3282398943408299,7.99385970421254
12,True,0,7,8.0,2460,Ridge,0.48063891426413674,7.028847498006183
12,True,0,7,8.0,2460,Gradient boosting,0.358058598238292,7.814426502024335
12,True,0,7,11.0,3313,Ridge,0.4815607239460379,7.022607006174394
12,True,0,7,11.0,3313,Gradient boosting,0.352743981714581,7.846707545299555
12,True,1,15,0.5,176,Ridge,0.6488056923493497,5.779937624925599
12,True,1,15,0.5,176,Gradient boosting,-0.054054351742094386,10.01338513879746
12,True,1,15,1.0,357,Ridge,0.6755333196750379,5.555644788154943
12,True,1,15,1.0,357,Gradient boosting,0.18164517232352395,8.823080508350676
12,True,1,15,2.0,534,Ridge,0.6909347340386405,5.4221873278622645
12,True,1,15,2.0,534,Gradient boosting,0.2071911436260454,8.684276931807121
12,True,1,15,3.0,838,Ridge,0.7236013204605088,5.127638499326012
12,True,1,15,3.0,838,Gradient boosting,0.3656931760801082,7.767819216001478
12,True,1,15,5.0,1568,Ridge,0.7337336038663592,5.0327759612369665
12,True,1,15,5.0,1568,Gradient boosting,0.4603750278663845,7.164657551674147
12,True,1,15,8.0,2460,Ridge,0.7385780270312559,4.986782901064549
12,True,1,15,8.0,2460,Gradient boosting,0.5104922589678496,6.823845726335985
12,True,1,15,11.0,3313,Ridge,0.7412562436155157,4.961172835745975
12,True,1,15,11.0,3313,Gradient boosting,0.5337132946176717,6.660026148114453
12,True,2,23,0.5,176,Ridge,0.6684984292651204,5.615548894016705
12,True,2,23,0.5,176,Gradient boosting,-0.0909438124643065,10.187100939293641
12,True,2,23,1.0,357,Ridge,0.7004863120567555,5.337744171886986
12,True,2,23,1.0,357,Gradient boosting,0.19970273428227459,8.725193843097916
12,True,2,23,2.0,534,Ridge,0.7191545662212433,5.1687211313861745
12,True,2,23,2.0,534,Gradient boosting,0.2043602647260867,8.699767569687973
12,True,2,23,3.0,838,Ridge,0.7504568789251029,4.872167595391094
12,True,2,23,3.0,838,Gradient boosting,0.3790126785897078,7.685830179195049
