target,model,split,seed,rmse,mae,nse,pi,rmse_monsoon,n,n_monsoon,feature_set,description,n_features,ridge_alpha,lgbm_best_iteration
Bhagyakul,pistgnn,val,sd,0.0005557917752900184,0.00042510476485498966,2.0977943925778326e-05,0.004230284145553377,0.0009845980764407278,328,86,,,,,
Bhagyakul,pistgnn,test,mean,0.03579821862107317,0.02697501542949508,0.9994285669519636,0.8651493513792937,0.0303328304854617,1096,369,,,,,
Bhagyakul,pistgnn,test,sd,0.001378391700652032,0.001272585195807504,4.3473514847144506e-05,0.010259175060143736,0.0024556239032155047,1096,369,,,,,
Bhagyakul,pistgnn,val,seed_avg_prediction,0.03484669328190745,0.02746606447534764,0.9993558037101342,0.870095307658143,0.03622249946963381,328,86,,,,,
Bhagyakul,pistgnn,test,seed_avg_prediction,0.035097932457174325,0.026325887465269062,0.9994512474564742,0.8705016507515841,0.02944743893967198,1096,369,,,,,
Bhagyakul,custom,val,20260913,0.034908284474719185,0.02745158108805682,0.999353524476247,0.8696356912624011,0.03679996932562195,328,86,,,,,
Bhagyakul,custom,test,20260913,0.03522051175083189,0.026040566639280945,0.9994474077339058,0.8695955269621924,0.02865148541884314,1096,369,,,,,
Bhagyakul,custom,val,20260914,0.03464432440318846,0.02687806444699141,0.9993632642021688,0.8715997449511084,0.03620406228496921,328,86,,,,,
Bhagyakul,custom,test,20260914,0.03515809532469576,0.02653351960838537,0.9994493645636614,0.8700573129276419,0.028960949679201837,1096,369,,,,,
Bhagyakul,custom,val,20260915,0.03481239433934861,0.02715579949368597,0.9993570712265322,0.8703509072793979,0.035400213205300776,328,86,,,,,
Bhagyakul,custom,test,20260915,0.03530866721784544,0.02657321855324645,0.9994446380413915,0.8689419161265508,0.03044625534955957,1096,369,,,,,
Bhagyakul,custom,val,mean,0.03478833440575208,0.027161815009578066,0.9993579533016493,0.8705287811643024,0.03613474827196398,328,86,,,,,
Bhagyakul,custom,val,sd,0.00013361470781365502,0.0002868056384005103,4.929412504759118e-06,0.000994035241945373,0.0007024475947665504,328,86,,,,,
Bhagyakul,custom,test,mean,0.03522909143112436,0.026382434933637584,0.9994471367796529,0.869531585338795,0.029352896815868182,1096,369,,,,,
